notice,name,inst_type,entity,permco,dt_start,dt_end
"The PERMCOs displayed herein are used with the permission of the Center for Research in Security Prices (CRSP®), Graduate School of Business, The University of Chicago. PERMCO® is a registered trademark of The University of Chicago.",,,,,,
"The University of Chicago and CRSP make no warranty of any kind, express or implied, with respect to the validity, merchantability, fitness, condition, use or appropriateness of the PERMCOs or the links to the PERMCOs displayed herein.",,,,,,
,CARTER BANKSHARES INC,Non Member Bank,3476192,56685,20190329,20210930
,FIRST NATIONAL CORP/VA,Bank Holding Company,1076123,56701,20190430,20210930
,MAINSTREET BANCSHARES INC,Bank Holding Company,4977397,56705,20190430,20210930
,FRANKLIN FINANCIAL SVCS CORP,Bank Holding Company,1118238,56739,20190531,20210930
,RED RIVER BANCSHARES INC,Bank Holding Company,2743235,56751,20190531,20210930
,SOUTH PLAINS FINANCIAL INC,Bank Holding Company,2033226,56754,20190531,20210930
,SOUTH PLAINS FINANCIAL INC,Bank Holding Company,3382332,56754,20190531,20210930
,FIRST SEACOAST BANCORP (NASDAQCM:FSEA),Thirft Holding Company,5371479,56827,20190716,20210930
,"PIONEER BANCORP, INC. (NASDAQCM:PBFS)",Bank Holding Company,5374461,56833,20190717,20210930
,"RICHMOND MUTUAL BANCORPORATION, INC. (NASDAQCM:RMBI)",Bank Holding Company,5371947,56834,20190701,20210930
,"CROSSFIRST BANKSHARES, INC. (NASDAQGS:CFB)",Bank Holding Company,3903661,56860,20190814,20210930
,ALERUS FINANCIAL CORP,Bank Holding Company,2067007,56887,20190930,20210930
,"HBT FINANCIAL, INC. (NASDAQGS:HBT)",Bank Holding Company,1208120,56912,20191010,20210930
,"METROCITY BANKSHARES, INC. (NASDAQGS:MCBS)",Bank Holding Company,4750086,56915,20191002,20210930
,SILVERGATE CAPITAL CORPORATION (NYSE:SI),Bank Holding Company,3695667,56932,20191106,20210930
,BOGOTA FINANCIAL CORP. (NASDAQCM:BSBK),Bank Holding Company,5423510,56998,20200114,20210930
,PROFESSIONAL HOLDING CORP. (NASDAQGS:PFHD),Bank Holding Company,4647494,57031,20200206,20210930
